Index,Stage,Mid-point?,Project,Year,Month,Role (ESP),Role,Project Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
131,Closing,No,3,2015 - 2017,12,Proveedor,Service Provider,BPG,4,4,4,3,NA,NA,4,4,4,5
132,Closing,No,3,2015 - 2017,12,Beneficiario,Beneficiary,BPG,5,5,4,5,5,4,4,5,4,4
133,Closing,No,3,2015 - 2017,12,Financiador,Financier,BPG,5,3,4,4,4,3,4,4,3,5
134,Closing,No,4,2018 - 2020,48,Líder de proyecto,Project Leader,DESMINADO,4,4,4,4,4,3,4,4,4,4
135,Closing,No,4,2015 - 2017,48,Co-investigador interno,Internal Co-Investigator,DESMINADO,4,4,4,4,4,3,4,4,4,4
136,Closing,No,4,2018 - 2020,48,Co-investigador Externo,External Co-Investigator,DESMINADO,4,4,4,4,3,3,4,4,4,4
137,Closing,No,4,2018 - 2020,48,Gestor administrativo,Administrative Manager,DESMINADO,5,3,4,4,4,4,4,4,4,4
138,Closing,No,4,2018 - 2020,48,Proveedor,Service Provider,DESMINADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Closing,No,4,2018 - 2020,48,Beneficiario,Beneficiary,DESMINADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Closing,No,4,2018 - 2020,48,Financiador,Financier,DESMINADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Closing,No,5,2021 - 2023,18,Líder de proyecto,Project Leader,CALIDAD DE LA LECHE,1,1,2,3,2,1,3,2,2,3
142,Closing,No,5,2021 - 2023,18,Co-investigador interno,Internal Co-Investigator,CALIDAD DE LA LECHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Closing,No,5,2021 - 2023,18,Co-investigador Externo,External Co-Investigator,CALIDAD DE LA LECHE,3,2,2,3,2,3,3,2,2,2
144,Closing,No,5,2021 - 2023,18,Gestor administrativo,Administrative Manager,CALIDAD DE LA LECHE,2,3,3,3,3,3,3,3,2,3
145,Closing,No,5,2021 - 2023,18,Proveedor,Service Provider,CALIDAD DE LA LECHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Closing,No,5,2021 - 2023,18,Beneficiario,Beneficiary,CALIDAD DE LA LECHE,2,2,2,2,2,3,2,2,2,3
147,Closing,No,5,2021 - 2023,18,Financiador,Financier,CALIDAD DE LA LECHE,2,3,2,2,2,2,2,2,2,3
148,Closing,No,6,2015 - 2017,18,Líder de proyecto,Project Leader,CADENA PRODUCTIVA DE LAS ABEJAS,2,3,2,3,3,2,3,2,3,3
149,Closing,No,6,2015 - 2017,18,Co-investigador interno,Internal Co-Investigator,CADENA PRODUCTIVA DE LAS ABEJAS,2,2,2,3,2,2,2,2,2,2
150,Closing,No,6,2015 - 2017,18,Co-investigador Externo,External Co-Investigator,CADENA PRODUCTIVA DE LAS ABEJAS,2,2,2,2,1,2,2,3,2,2
151,Closing,No,6,2015 - 2017,18,Gestor administrativo,Administrative Manager,CADENA PRODUCTIVA DE LAS ABEJAS,3,3,3,3,2,3,3,3,3,3
152,Closing,No,6,2015 - 2017,18,Proveedor,Service Provider,CADENA PRODUCTIVA DE LAS ABEJAS,3,3,NA,3,NA,NA,NA,2,3,3
153,Closing,No,6,2015 - 2017,18,Beneficiario,Beneficiary,CADENA PRODUCTIVA DE LAS ABEJAS,2,3,3,3,3,NA,3,3,3,3
154,Closing,No,6,2015 - 2017,18,Financiador,Financier,CADENA PRODUCTIVA DE LAS ABEJAS,2,3,3,3,2,NA,3,NA,3,3
